Robert Wilson,robwilsonmp,Conservative,,130566713,,,1773,,
Rory Stewart,rorystewartuk,Conservative,Penrith and The Border,131926473,,,,,
Rosie Cooper,rosie4westlancs,Labour,West Lancashire,110767433,,,,,
Russell Brown,russellbrownmp,Labour,,22639961,,,1969,,
Sadiq Khan,sadiqkhan,Labour,Tooting,19397942,,,1878,,
Sam Gyimah,samgyimah,Conservative,East Surrey,55253731,,,,,
Sandra Gidley,sandragidley,Liberal Democrats,,24884587,,,1787,,
Steve Brine,sbrine,Conservative,Winchester,11564602,,,,,
Sharon Hodgson,sharonhodgsonmp,Labour,Gateshead East and Washington West,200700960,,,,,
Sheryll Murray,sheryllmurray,Conservative,South East Cornwall,18627119,,,,,
Sion Simon,sionsimon,Labour,,18460290,,,1412,,
Stewart Jackson,sjacksonmp,Conservative,Peterborough,118984824,,,,,
Steven Baker,sjbaker,Conservative,Wycombe,314750460,,,,,
Sarah McCarthy-Fry,smccarthyfry,Labour,,21182989,,,1766,,
John Spellar,spellar,Labour,Warley,21736214,,,1906,,
Stella Creasy,stellacreasy,Labour,Walthamstow,15580900,,,,,
Stephen Gilbert,stephen_gilbert,Liberal Democrats,St Austell and Newquay,19018381,,,,,
Stephen Timms,stephenctimms,Labour,East Ham,102107018,,,1563,,
Stephen Twigg,stephentwigg,Labour,"Liverpool, West Derby",35781487,,,,,
Stephen McCabe,steve_mccabe,Labour,"Birmingham, Hall Green",21408041,,,,,
Steve Webb,stevewebb1,Liberal Democrats,Northavon,45158266,,,1743,,
Stuart Andrew,stuartandrewmp,Conservative,Pudsey,20424362,,,,,
Susan Kramer,susankramer,Liberal Democrats,,22136625,,,1783,,
Stephen Williams,swilliamsmp,Liberal Democrats,Bristol West,180013616,,,,,
Therese Coffey,theresecoffey,Conservative,Suffolk Coastal,50714939,,,,,
Tom Brake,thomasbrake,Liberal Democrats,Carshalton and Wallington,21666641,,,1487,,
Tim Farron,timfarron,Liberal Democrats,Westmorland and Lonsdale,80021045,,,1923,,
